"pack","id","level","category","word","article","plural","translation_tr","example_de","example_tr","tags"
"a1","a1_0015","A1","Selamlama","Abend","der","Abende","akşam","Am Abend bin ich müde.","Akşam yorgunum.","greeting, time, a1"
"a1","a1_0016","A1","Selamlama","Wie geht es?","","","nasılsın?","Wie geht es Ihnen?","Nasılsınız?","greeting, a1"
"a1","a1_0017","A1","Selamlama","Alles klar","","","her şey yolunda","Alles klar? — Ja, alles klar!","Her şey yolunda mı? — Evet!","greeting, a1"
"a1","a1_0018","A1","Selamlama","Schön","","","güzel","Schön, dich zu sehen!","Seni görmek güzel!","greeting, a1"
"a1","a1_0019","A1","Selamlama","Freut mich","","","memnun oldum","Freut mich, Sie kennenzulernen.","Tanıştığımıza memnun oldum.","greeting, a1"
"a1","a1_0020","A1","Selamlama","Bis bald","","","görüşürüz","Bis bald!","Yakında görüşürüz!","greeting, a1"
"a1","a1_0021","A1","Selamlama","Bis später","","","sonra görüşürüz","Bis später!","Sonra görüşürüz!","greeting, a1"
"a1","a1_0022","A1","Selamlama","Guten Appetit","","","afiyet olsun","Guten Appetit!","Afiyet olsun!","greeting, a1"
"a1","a1_0023","A1","Selamlama","Prost","","","şerefe","Prost!","Şerefe!","greeting, a1"
"a1","a1_0024","A1","Selamlama","Herzlichen Glückwunsch","","","tebrikler","Herzlichen Glückwunsch zum Geburtstag!","Doğum günün kutlu olsun!","greeting, a1"
"a1","a1_0025","A1","Selamlama","Viel Glück","","","bol şans","Viel Glück bei der Prüfung!","Sınavda bol şans!","greeting, a1"
"a1","a1_0026","A1","Selamlama","Gute Besserung","","","geçmiş olsun","Gute Besserung!","Geçmiş olsun!","greeting, a1"
"a1","a1_0027","A1","Selamlama","Schönes Wochenende","","","iyi hafta sonları","Schönes Wochenende!","İyi hafta sonları!","greeting, a1"
"a1","a1_0028","A1","Selamlama","Frohe Weihnachten","","","mutlu Noel","Frohe Weihnachten!","Mutlu Noel!","greeting, a1"
"a1","a1_0029","A1","Selamlama","Frohes neues Jahr","","","mutlu yıllar","Frohes neues Jahr!","Mutlu yıllar!","greeting, a1"
"a1","a1_0030","A1","Selamlama","Ja","","","evet","Ja, natürlich!","Evet, tabii ki!","greeting, basic, a1"
"a1","a1_0031","A1","Selamlama","Nein","","","hayır","Nein, danke.","Hayır, teşekkürler.","greeting, basic, a1"
"a1","a1_0032","A1","Selamlama","Vielleicht","","","belki","Vielleicht morgen.","Belki yarın.","greeting, basic, a1"
"a1","a1_0033","A1","Selamlama","Natürlich","","","tabii ki","Natürlich!","Tabii ki!","greeting, basic, a1"
"a1","a1_0034","A1","Tanışma","Name","der","Namen","isim","Mein Name ist Timur.","Benim adım Timur.","introduction, a1"
"a1","a1_0035","A1","Tanışma","Vorname","der","Vornamen","ad","Mein Vorname ist Ali.","Adım Ali.","introduction, a1"
"a1","a1_0036","A1","Tanışma","Nachname","der","Nachnamen","soyad","Mein Nachname ist Yilmaz.","Soyadım Yılmaz.","introduction, a1"
"a1","a1_0037","A1","Tanışma","kommen","","","gelmek","Ich komme aus der Türkei.","Türkiye'den geliyorum.","verb, introduction, a1"
"a1","a1_0038","A1","Tanışma","wohnen","","","yaşamak","Ich wohne in Berlin.","Berlin'de yaşıyorum.","verb, introduction, a1"
"a1","a1_0039","A1","Tanışma","Sprache","die","Sprachen","dil","Ich spreche Deutsch und Türkisch.","Almanca ve Türkçe konuşuyorum.","noun, introduction, a1"
"a1","a1_0040","A1","Tanışma","sprechen","","","konuşmak","Ich spreche ein bisschen Deutsch.","Biraz Almanca konuşuyorum.","verb, introduction, a1"
"a1","a1_0041","A1","Tanışma","verstehen","","","anlamak","Ich verstehe nicht.","Anlamıyorum.","verb, introduction, a1"
"a1","a1_0042","A1","Tanışma","lernen","","","öğrenmek","Ich lerne Deutsch.","Almanca öğreniyorum.","verb, introduction, a1"
"a1","a1_0043","A1","Tanışma","Land","das","Länder","ülke","Mein Land ist die Türkei.","Ülkem Türkiye.","noun, introduction, a1"
"a1","a1_0044","A1","Tanışma","Stadt","die","Städte","şehir","Ich wohne in einer großen Stadt.","Büyük bir şehirde yaşıyorum.","noun, introduction, a1"
"a1","a1_0045","A1","Tanışma","Adresse","die","Adressen","adres","Meine Adresse ist Hauptstraße 5.","Adresim Hauptstraße 5.","noun, introduction, a1"
"a1","a1_0046","A1","Tanışma","Alter","das","","yaş","Mein Alter ist 25.","Yaşım 25.","noun, introduction, a1"
"a1","a1_0047","A1","Tanışma","Jahre alt","","","yaşında","Ich bin 25 Jahre alt.","25 yaşındayım.","introduction, a1"
"a1","a1_0048","A1","Tanışma","Beruf","der","Berufe","meslek","Mein Beruf ist Lagerarbeiter.","Mesleğim depo işçisi.","noun, introduction, a1"
"a1","a1_0049","A1","Tanışma","arbeiten als","","","olarak çalışmak","Ich arbeite als Fahrer.","Şoför olarak çalışıyorum.","introduction, a1"
"a1","a1_0050","A1","Tanışma","ledig","","","bekar","Ich bin ledig.","Bekarım.","introduction, a1"
"a1","a1_0051","A1","Tanışma","verheiratet","","","evli","Ich bin verheiratet.","Evliyim.","introduction, a1"
"a1","a1_0052","A1","Tanışma","Nationalität","die","Nationalitäten","uyruk","Meine Nationalität ist türkisch.","Uyruğum Türk.","noun, introduction, a1"
"a1","a1_0053","A1","Tanışma","Pass","der","Pässe","pasaport","Mein Pass ist gültig.","Pasaportum geçerli.","noun, introduction, a1"
"a1","a1_0054","A1","Tanışma","Ausweis","der","Ausweise","kimlik","Hier ist mein Ausweis.","İşte kimliğim.","noun, introduction, a1"
"a1","a1_0055","A1","Tanışma","Telefonnummer","die","Telefonnummern","telefon numarası","Meine Telefonnummer ist 0176...","Telefon numaram 0176...","noun, introduction, a1"
"a1","a1_0056","A1","Tanışma","E-Mail","die","E-Mails","e-posta","Meine E-Mail ist timur@mail.de.","E-postam timur@mail.de.","noun, introduction, a1"
"a1","a1_0057","A1","Tanışma","kennenlernen","","","tanışmak","Schön, dich kennenzulernen.","Tanıştığıma memnun oldum.","verb, introduction, a1"
"a1","a1_0058","A1","Tanışma","heißen","","","adlandırılmak","Ich heiße Timur.","Adım Timur.","verb, introduction, a1"
"a1","a1_0059","A1","Tanışma","sein","","","olmak","Ich bin Student.","Öğrenciyim.","verb, introduction, a1"
"a1","a1_0060","A1","Tanışma","haben","","","sahip olmak","Ich habe einen Bruder.","Bir erkek kardeşim var.","verb, introduction, a1"
"a1","a1_0061","A1","Tanışma","Frage","die","Fragen","soru","Ich habe eine Frage.","Bir sorum var.","noun, introduction, a1"
"a1","a1_0062","A1","Tanışma","Antwort","die","Antworten","cevap","Das ist meine Antwort.","Bu benim cevabım.","noun, introduction, a1"
"a1","a1_0063","A1","Tanışma","Information","die","Informationen","bilgi","Ich brauche Information.","Bilgiye ihtiyacım var.","noun, introduction, a1"
"a1","a1_0064","A1","Tanışma","Formular","das","Formulare","form","Ich fülle das Formular aus.","Formu dolduruyorum.","noun, introduction, a1"
"a1","a1_0065","A1","Tanışma","Unterschrift","die","Unterschriften","imza","Hier ist meine Unterschrift.","İşte imzam.","noun, introduction, a1"
"a1","a1_0066","A1","Tanışma","Datum","das","Daten","tarih","Das Datum ist der 1. März.","Tarih 1 Mart.","noun, introduction, a1"
"a1","a1_0067","A1","Tanışma","Geburtsdatum","das","Geburtsdaten","doğum tarihi","Mein Geburtsdatum ist der 1. Januar.","Doğum tarihim 1 Ocak.","noun, introduction, a1"
"a1","a1_0068","A1","Aile","Mutter","die","Mütter","anne","Meine Mutter ist nett.","Annem nazik.","family, a1"
"a1","a1_0069","A1","Aile","Vater","der","Väter","baba","Mein Vater arbeitet viel.","Babam çok çalışıyor.","family, a1"
"a1","a1_0070","A1","Aile","Kind","das","Kinder","çocuk","Das Kind spielt im Garten.","Çocuk bahçede oynuyor.","family, a1"
"a1","a1_0071","A1","Aile","Sohn","der","Söhne","oğul","Mein Sohn ist fünf Jahre alt.","Oğlum beş yaşında.","family, a1"
"a1","a1_0072","A1","Aile","Tochter","die","Töchter","kız evlat","Meine Tochter geht in die Schule.","Kızım okula gidiyor.","family, a1"
"a1","a1_0073","A1","Aile","Bruder","der","Brüder","erkek kardeş","Mein Bruder wohnt in Hamburg.","Erkek kardeşim Hamburg'da.","family, a1"
"a1","a1_0074","A1","Aile","Schwester","die","Schwestern","kız kardeş","Meine Schwester ist Ärztin.","Kız kardeşim doktor.","family, a1"
"a1","a1_0075","A1","Aile","Großmutter","die","Großmütter","büyükanne","Meine Großmutter kocht gut.","Büyükannem iyi yemek yapar.","family, a1"
"a1","a1_0076","A1","Aile","Großvater","der","Großväter","büyükbaba","Mein Großvater ist 80.","Büyükbabam 80 yaşında.","family, a1"
"a1","a1_0077","A1","Aile","Eltern","die","","ebeveynler","Meine Eltern leben in der Türkei.","Ebeveynlerim Türkiye'de.","family, a1"
"a1","a1_0078","A1","Aile","Familie","die","Familien","aile","Meine Familie ist groß.","Ailem büyük.","family, a1"
"a1","a1_0079","A1","Aile","Ehemann","der","Ehemänner","koca","Mein Ehemann arbeitet im Lager.","Kocam depoda çalışıyor.","family, a1"
"a1","a1_0080","A1","Aile","Ehefrau","die","Ehefrauen","eş (kadın)","Meine Ehefrau ist zu Hause.","Eşim evde.","family, a1"
"a1","a1_0081","A1","Aile","Baby","das","Babys","bebek","Das Baby schläft.","Bebek uyuyor.","family, a1"
"a1","a1_0082","A1","Aile","Enkel","der","Enkel","torun (erkek)","Mein Enkel ist süß.","Torunum tatlı.","family, a1"
"a1","a1_0083","A1","Aile","Enkelin","die","Enkelinnen","torun (kız)","Meine Enkelin spielt Klavier.","Kız torunum piyano çalıyor.","family, a1"
"a1","a1_0084","A1","Aile","Onkel","der","Onkel","amca/dayı","Mein Onkel wohnt in Ankara.","Amcam Ankara'da.","family, a1"
"a1","a1_0085","A1","Aile","Tante","die","Tanten","hala/teyze","Meine Tante ist nett.","Hala teyzem nazik.","family, a1"
"a1","a1_0086","A1","Aile","Cousin","der","Cousins","kuzen (erkek)","Mein Cousin studiert.","Kuzenim okuyor.","family, a1"
"a1","a1_0087","A1","Aile","Cousine","die","Cousinen","kuzen (kız)","Meine Cousine arbeitet.","Kız kuzenim çalışıyor.","family, a1"
"a1","a1_0088","A1","Aile","Schwiegermutter","die","Schwiegermütter","kayınvalide","Meine Schwiegermutter wohnt bei uns.","Kayınvalidem bizde kalıyor.","family, a1"
"a1","a1_0089","A1","Aile","Schwiegervater","der","Schwiegerväter","kayın baba","Mein Schwiegervater ist Rentner.","Kayınpederim emekli.","family, a1"
"a1","a1_0090","A1","Aile","Schwager","der","Schwäger","enişte/bacanak","Mein Schwager ist Mechaniker.","Enişte bacanağım tamirci.","family, a1"
"a1","a1_0091","A1","Aile","Schwägerin","die","Schwägerinnen","baldız/gelin","Meine Schwägerin ist Lehrerin.","Baldız gelinim öğretmen.","family, a1"
"a1","a1_0092","A1","Aile","Neffe","der","Neffen","yeğen (erkek)","Mein Neffe ist zehn.","Yeğenim on yaşında.","family, a1"
"a1","a1_0093","A1","Aile","Nichte","die","Nichten","yeğen (kız)","Meine Nichte tanzt gern.","Kız yeğenim dans etmeyi sever.","family, a1"
"a1","a1_0094","A1","Aile","Verwandte","der","Verwandten","akraba","Ich besuche Verwandte.","Akrabaları ziyaret ediyorum.","family, a1"
"a1","a1_0095","A1","Aile","Paar","das","Paare","çift","Das Paar ist verheiratet.","Çift evli.","family, a1"
"a1","a1_0096","A1","Aile","lieben","","","sevmek","Ich liebe meine Familie.","Ailemi seviyorum.","verb, family, a1"
"a1","a1_0097","A1","Aile","heiraten","","","evlenmek","Wir heiraten im Sommer.","Yazın evleniyoruz.","verb, family, a1"
"a1","a1_0098","A1","Aile","geboren","","","doğmuş","Ich bin in Istanbul geboren.","İstanbul'da doğdum.","family, a1"
"a1","a1_0099","A1","Aile","Zusammenleben","","","birlikte yaşamak","Wir leben zusammen.","Birlikte yaşıyoruz.","family, a1"
"a1","a1_0100","A1","Aile","allein","","","yalnız","Ich wohne allein.","Yalnız yaşıyorum.","family, a1"
"a1","a1_0101","A1","Aile","zusammen","","","birlikte","Wir essen zusammen.","Birlikte yemek yiyoruz.","family, a1"
"a1","a1_0102","A1","Ev","Haus","das","Häuser","ev","Das ist mein Haus.","Bu benim evim.","daily, a1"
"a1","a1_0103","A1","Ev","Wohnung","die","Wohnungen","daire","Meine Wohnung ist klein.","Dairem küçük.","daily, a1"
"a1","a1_0104","A1","Ev","Zimmer","das","Zimmer","oda","Mein Zimmer ist sauber.","Odam temiz.","daily, a1"
"a1","a1_0105","A1","Ev","Küche","die","Küchen","mutfak","Die Küche ist modern.","Mutfak modern.","daily, a1"
"a1","a1_0106","A1","Ev","Bad","das","Bäder","banyo","Das Bad ist klein.","Banyo küçük.","daily, a1"
"a1","a1_0107","A1","Ev","Schlafzimmer","das","Schlafzimmer","yatak odası","Das Schlafzimmer ist hell.","Yatak odası aydınlık.","daily, a1"
"a1","a1_0108","A1","Ev","Wohnzimmer","das","Wohnzimmer","oturma odası","Im Wohnzimmer ist ein Sofa.","Oturma odasında kanepe var.","daily, a1"
"a1","a1_0109","A1","Ev","Tür","die","Türen","kapı","Die Tür ist offen.","Kapı açık.","daily, a1"
"a1","a1_0110","A1","Ev","Fenster","das","Fenster","pencere","Das Fenster ist geschlossen.","Pencere kapalı.","daily, a1"
"a1","a1_0111","A1","Ev","Bett","das","Betten","yatak","Das Bett ist bequem.","Yatak rahat.","daily, a1"
"a1","a1_0112","A1","Ev","Tisch","der","Tische","masa","Der Tisch ist groß.","Masa büyük.","daily, a1"
"a1","a1_0113","A1","Ev","Stuhl","der","Stühle","sandalye","Der Stuhl ist kaputt.","Sandalye kırık.","daily, a1"
"a1","a1_0114","A1","Ev","Sofa","das","Sofas","kanepe","Das Sofa ist neu.","Kanepe yeni.","daily, a1"
"a1","a1_0115","A1","Ev","Schrank","der","Schränke","dolap","Der Schrank ist voll.","Dolap dolu.","daily, a1"
"a1","a1_0116","A1","Ev","Regal","das","Regale","raf","Das Regal ist leer.","Raf boş.","daily, a1"
"a1","a1_0117","A1","Ev","Lampe","die","Lampen","lamba","Die Lampe ist an.","Lamba açık.","daily, a1"
"a1","a1_0118","A1","Ev","Teppich","der","Teppiche","halı","Der Teppich ist rot.","Halı kırmızı.","daily, a1"
"a1","a1_0119","A1","Ev","Spiegel","der","Spiegel","ayna","Der Spiegel ist sauber.","Ayna temiz.","daily, a1"
"a1","a1_0120","A1","Ev","Kühlschrank","der","Kühlschränke","buzdolabı","Der Kühlschrank ist kalt.","Buzdolabı soğuk.","daily, a1"
"a1","a1_0121","A1","Ev","Herd","der","Herde","ocak","Der Herd ist heiß.","Ocak sıcak.","daily, a1"
"a1","a1_0122","A1","Ev","Waschmaschine","die","Waschmaschinen","çamaşır makinesi","Die Waschmaschine ist kaputt.","Çamaşır makinesi bozuk.","daily, a1"
"a1","a1_0123","A1","Ev","Schlüssel","der","Schlüssel","anahtar","Wo ist mein Schlüssel?","Anahtarım nerede?","daily, a1"
"a1","a1_0124","A1","Ev","Garten","der","Gärten","bahçe","Der Garten ist schön.","Bahçe güzel.","daily, a1"
"a1","a1_0125","A1","Ev","Balkon","der","Balkone","balkon","Der Balkon ist klein.","Balkon küçük.","daily, a1"
"a1","a1_0126","A1","Ev","Keller","der","Keller","bodrum","Der Keller ist dunkel.","Bodrum karanlık.","daily, a1"
"a1","a1_0127","A1","Ev","Dach","das","Dächer","çatı","Das Dach ist neu.","Çatı yeni.","daily, a1"
"a1","a1_0128","A1","Ev","Treppenhaus","das","Treppenhäuser","merdiven boşluğu","Das Treppenhaus ist sauber.","Merdiven boşluğu temiz.","daily, a1"
"a1","a1_0129","A1","Ev","Aufzug","der","Aufzüge","asansör","Der Aufzug funktioniert nicht.","Asansör çalışmıyor.","daily, a1"
"a1","a1_0130","A1","Ev","Miete","die","Mieten","kira","Die Miete ist 500 Euro.","Kira 500 euro.","daily, a1"
"a1","a1_0131","A1","Ev","Möbel","das","Möbel","mobilya","Die Möbel sind neu.","Mobilyalar yeni.","daily, a1"
"a1","a1_0132","A1","Ev","Heizung","die","Heizungen","ısıtma","Die Heizung ist an.","Isıtma açık.","daily, a1"
"a1","a1_0133","A1","Ev","Strom","der","","elektrik","Der Strom ist teuer.","Elektrik pahalı.","daily, a1"
"a1","a1_0134","A1","Ev","sauber","","","temiz","Die Wohnung ist sauber.","Daire temiz.","adjective, daily, a1"
"a1","a1_0135","A1","Ev","schmutzig","","","kirli","Das Zimmer ist schmutzig.","Oda kirli.","adjective, daily, a1"
"a1","a1_0136","A1","Market","Supermarkt","der","Supermärkte","süpermarket","Ich gehe zum Supermarkt.","Süpermarkete gidiyorum.","shopping, a1"
"a1","a1_0137","A1","Market","Brot","das","Brote","ekmek","Ich kaufe Brot.","Ekmek alıyorum.","food, shopping, a1"
"a1","a1_0138","A1","Market","Milch","die","","süt","Die Milch kostet 1 Euro.","Süt 1 euro.","food, shopping, a1"
"a1","a1_0139","A1","Market","kosten","","","mal olmak","Was kostet das?","Bu ne kadar?","verb, shopping, a1"
"a1","a1_0140","A1","Market","kaufen","","","satın almak","Ich kaufe Obst.","Meyve alıyorum.","verb, shopping, a1"
"a1","a1_0141","A1","Market","Euro","der","Euro","euro","Das kostet fünf Euro.","Bu beş euro.","shopping, a1"
"a1","a1_0142","A1","Market","Preis","der","Preise","fiyat","Der Preis ist hoch.","Fiyat yüksek.","shopping, a1"
"a1","a1_0143","A1","Market","billig","","","ucuz","Das ist billig.","Bu ucuz.","shopping, a1"
"a1","a1_0144","A1","Market","teuer","","","pahalı","Das ist teuer.","Bu pahalı.","shopping, a1"
"a1","a1_0145","A1","Market","Obst","das","","meyve","Das Obst ist frisch.","Meyve taze.","food, shopping, a1"
"a1","a1_0146","A1","Market","Gemüse","das","","sebze","Ich kaufe Gemüse.","Sebze alıyorum.","food, shopping, a1"
"a1","a1_0147","A1","Market","Apfel","der","Äpfel","elma","Der Apfel ist rot.","Elma kırmızı.","food, shopping, a1"
"a1","a1_0148","A1","Market","Banane","die","Bananen","muz","Die Banane ist gelb.","Muz sarı.","food, shopping, a1"
"a1","a1_0149","A1","Market","Tomate","die","Tomaten","domates","Die Tomate ist reif.","Domates olgun.","food, shopping, a1"
"a1","a1_0150","A1","Market","Kartoffel","die","Kartoffeln","patates","Ich kaufe Kartoffeln.","Patates alıyorum.","food, shopping, a1"
"a1","a1_0151","A1","Market","Reis","der","","pirinç","Der Reis ist im Regal.","Pirinç rafta.","food, shopping, a1"
"a1","a1_0152","A1","Market","Nudeln","die","","makarna","Ich kaufe Nudeln.","Makarna alıyorum.","food, shopping, a1"
"a1","a1_0153","A1","Market","Fleisch","das","","et","Das Fleisch ist frisch.","Et taze.","food, shopping, a1"
"a1","a1_0154","A1","Market","Fisch","der","Fische","balık","Der Fisch ist gut.","Balık iyi.","food, shopping, a1"
"a1","a1_0155","A1","Market","Käse","der","","peynir","Der Käse ist lecker.","Peynir lezzetli.","food, shopping, a1"
"a1","a1_0156","A1","Market","Ei","das","Eier","yumurta","Ich kaufe sechs Eier.","Altı yumurta alıyorum.","food, shopping, a1"
"a1","a1_0157","A1","Market","Butter","die","","tereyağı","Die Butter ist im Kühlschrank.","Tereyağı buzdolabında.","food, shopping, a1"
"a1","a1_0158","A1","Market","Zucker","der","","şeker","Der Zucker ist süß.","Şeker tatlı.","food, shopping, a1"
"a1","a1_0159","A1","Market","Salz","das","","tuz","Das Salz ist auf dem Tisch.","Tuz masada.","food, shopping, a1"
"a1","a1_0160","A1","Market","Öl","das","Öle","yağ","Das Öl ist im Regal.","Yağ rafta.","food, shopping, a1"
"a1","a1_0161","A1","Market","Wasser","das","","su","Ich kaufe Wasser.","Su alıyorum.","food, shopping, a1"
"a1","a1_0162","A1","Market","Saft","der","Säfte","meyve suyu","Der Saft ist kalt.","Meyve suyu soğuk.","food, shopping, a1"
"a1","a1_0163","A1","Market","Kaffee","der","","kahve","Der Kaffee ist heiß.","Kahve sıcak.","food, shopping, a1"
"a1","a1_0164","A1","Market","Tee","der","Tees","çay","Ich trinke Tee.","Çay içiyorum.","food, shopping, a1"
"a1","a1_0165","A1","Market","Tüte","die","Tüten","poşet","Ich brauche eine Tüte.","Poşete ihtiyacım var.","shopping, a1"
"a1","a1_0166","A1","Market","Kasse","die","Kassen","kasa","Wo ist die Kasse?","Kasa nerede?","shopping, a1"
"a1","a1_0167","A1","Market","Schlange","die","Schlangen","sıra","Ich stehe in der Schlange.","Sırada bekliyorum.","shopping, a1"
"a1","a1_0168","A1","Market","Angebot","das","Angebote","indirim/kampanya","Das ist ein Angebot.","Bu bir kampanya.","shopping, a1"
"a1","a1_0169","A1","Market","bezahlen","","","ödemek","Ich bezahle bar.","Nakit ödüyorum.","verb, shopping, a1"
"a1","a1_0170","A1","İş","Arbeit","die","Arbeiten","iş","Ich gehe zur Arbeit.","İşe gidiyorum.","work, a1"
"a1","a1_0171","A1","İş","Kollege","der","Kollegen","iş arkadaşı","Mein Kollege ist freundlich.","İş arkadaşım dost.","work, a1"
"a1","a1_0172","A1","İş","arbeiten","","","çalışmak","Ich arbeite im Lager.","Depoda çalışıyorum.","verb, work, a1"
"a1","a1_0173","A1","İş","Lager","das","Lager","depo","Ich arbeite in einem Lager.","Depoda çalışıyorum.","work, logistics, a1"
"a1","a1_0174","A1","İş","Chef","der","Chefs","patron/şef","Mein Chef ist streng.","Patronum katı.","work, a1"
"a1","a1_0175","A1","İş","Firma","die","Firmen","firma","Die Firma ist groß.","Firma büyük.","work, a1"
"a1","a1_0176","A1","İş","Büro","das","Büros","ofis","Das Büro ist im dritten Stock.","Ofis üçüncü katta.","work, a1"
"a1","a1_0177","A1","İş","Schicht","die","Schichten","vardiya","Meine Schicht beginnt um sechs.","Vardiyam altıda başlıyor.","work, logistics, a1"
"a1","a1_0178","A1","İş","Pause","die","Pausen","mola","Ich mache Pause.","Mola veriyorum.","work, a1"
"a1","a1_0179","A1","İş","Gehalt","das","Gehälter","maaş","Mein Gehalt ist 2000 Euro.","Maaşım 2000 euro.","work, a1"
"a1","a1_0180","A1","İş","Vertrag","der","Verträge","sözleşme","Ich unterschreibe den Vertrag.","Sözleşmeyi imzalıyorum.","work, a1"
"a1","a1_0181","A1","İş","Bewerbung","die","Bewerbungen","iş başvurusu","Ich schreibe eine Bewerbung.","İş başvurusu yazıyorum.","work, a1"
"a1","a1_0182","A1","İş","Lebenslauf","der","Lebensläufe","CV","Mein Lebenslauf ist fertig.","CV'm hazır.","work, a1"
"a1","a1_0183","A1","İş","Termin","der","Termine","randevu","Ich habe einen Termin.","Randevum var.","work, a1"
"a1","a1_0184","A1","İş","Besprechung","die","Besprechungen","toplantı","Die Besprechung ist um zehn.","Toplantı onda.","work, a1"
"a1","a1_0185","A1","İş","Aufgabe","die","Aufgaben","görev","Meine Aufgabe ist einfach.","Görevim basit.","work, a1"
"a1","a1_0186","A1","İş","Projekt","das","Projekte","proje","Das Projekt ist wichtig.","Proje önemli.","work, a1"
"a1","a1_0187","A1","İş","Gruppe","die","Gruppen","ekip/grup","Unsere Gruppe ist gut.","Grubumuz iyi.","work, a1"
"a1","a1_0188","A1","İş","Kunde","der","Kunden","müşteri","Der Kunde wartet.","Müşteri bekliyor.","work, a1"
"a1","a1_0189","A1","İş","Paket","das","Pakete","paket","Das Paket ist schwer.","Paket ağır.","work, logistics, a1"
"a1","a1_0190","A1","İş","Karton","der","Kartons","karton","Der Karton ist groß.","Karton büyük.","work, logistics, a1"
"a1","a1_0191","A1","İş","Palette","die","Paletten","palet","Die Palette steht dort.","Palet orada duruyor.","work, logistics, a1"
"a1","a1_0192","A1","İş","Stapler","der","Stapler","forklift","Der Stapler fährt langsam.","Forklift yavaş gidiyor.","work, logistics, a1"
"a1","a1_0193","A1","İş","Regal","das","Regale","raf","Das Regal ist voll.","Raf dolu.","work, logistics, a1"
"a1","a1_0194","A1","İş","Bestellung","die","Bestellungen","sipariş","Die Bestellung ist fertig.","Sipariş hazır.","work, logistics, a1"
"a1","a1_0195","A1","İş","Lieferung","die","Lieferungen","teslimat","Die Lieferung kommt morgen.","Teslimat yarın geliyor.","work, logistics, a1"
"a1","a1_0196","A1","İş","Uniform","die","Uniformen","üniforma","Die Uniform ist blau.","Üniforma mavi.","work, a1"
"a1","a1_0197","A1","İş","Helm","der","Helme","kask","Der Helm ist Pflicht.","Kask zorunlu.","work, safety, a1"
"a1","a1_0198","A1","İş","Sicherheit","die","","güvenlik","Sicherheit ist wichtig.","Güvenlik önemli.","work, safety, a1"
"a1","a1_0199","A1","İş","Feierabend","der","","iş çıkışı","Ich mache Feierabend.","İşten çıkıyorum.","work, a1"
"a1","a1_0200","A1","İş","Überstunden","die","","fazla mesai","Ich mache Überstunden.","Fazla mesai yapıyorum.","work, a1"
"a1","a1_0201","A1","İş","Urlaub","der","Urlaube","izin/tatil","Ich habe Urlaub.","İznim var.","work, a1"
"a1","a1_0202","A1","İş","krank","","","hasta","Ich bin krank.","Hastayım.","work, a1"
"a1","a1_0203","A1","İş","anfangen","","","başlamak","Ich fange um acht an.","Sekizde başlıyorum.","verb, work, a1"
"a1","a1_0204","A1","İş","aufhören","","","bitirmek/durdurmak","Ich höre um fünf auf.","Beşte bitiriyorum.","verb, work, a1"
"a1","a1_0205","A1","Ulaşım","Bus","der","Busse","otobüs","Der Bus kommt um acht.","Otobüs sekizde geliyor.","transport, a1"
"a1","a1_0206","A1","Ulaşım","Bahnhof","der","Bahnhöfe","tren istasyonu","Wo ist der Bahnhof?","Tren istasyonu nerede?","transport, a1"
"a1","a1_0207","A1","Ulaşım","Fahrkarte","die","Fahrkarten","bilet","Ich brauche eine Fahrkarte.","Bilete ihtiyacım var.","transport, a1"
